TOP1_GOLD,JUNGLE1_GOLD,MIDDLE1_GOLD,BOTTOM1_GOLD,UTILITY1_GOLD,TOP2_GOLD,JUNGLE2_GOLD,MIDDLE2_GOLD,BOTTOM2_GOLD,UTILITY2_GOLD,TOP1_TOP2,TOP1_JUNGLE2,TOP1_MIDDLE2,TOP1_BOTTOM2,TOP1_UTILITY2,JUNGLE1_TOP2,JUNGLE1_JUNGLE2,JUNGLE1_MIDDLE2,JUNGLE1_BOTTOM2,JUNGLE1_UTILITY2,MIDDLE1_TOP2,MIDDLE1_JUNGLE2,MIDDLE1_MIDDLE2,MIDDLE1_BOTTOM2,MIDDLE1_UTILITY2,BOTTOM1_TOP2,BOTTOM1_JUNGLE2,BOTTOM1_MIDDLE2,BOTTOM1_BOTTOM2,BOTTOM1_UTILITY2,UTILITY1_TOP2,UTILITY1_JUNGLE2,UTILITY1_MIDDLE2,UTILITY1_BOTTOM2,UTILITY1_UTILITY2,TOP2_TOP1,TOP2_JUNGLE1,TOP2_MIDDLE1,TOP2_BOTTOM1,TOP2_UTILITY1,JUNGLE2_TOP1,JUNGLE2_JUNGLE1,JUNGLE2_MIDDLE1,JUNGLE2_BOTTOM1,JUNGLE2_UTILITY1,MIDDLE2_TOP1,MIDDLE2_JUNGLE1,MIDDLE2_MIDDLE1,MIDDLE2_BOTTOM1,MIDDLE2_UTILITY1,BOTTOM2_TOP1,BOTTOM2_JUNGLE1,BOTTOM2_MIDDLE1,BOTTOM2_BOTTOM1,BOTTOM2_UTILITY1,UTILITY2_TOP1,UTILITY2_JUNGLE1,UTILITY2_MIDDLE1,UTILITY2_BOTTOM1,UTILITY2_UTILITY1
5406,8318,5723,7932,3697,5815,5459,7146,6106,3405,1,1,0,0,1,0,2,1,1,2,1,1,0,0,0,1,1,1,1,2,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0
6626,6018,4831,6521,4521,4124,6469,5144,4903,5111,3,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
5794,8232,5910,5399,4484,5321,5461,4532,7198,4066,1,0,0,0,0,3,2,1,1,1,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0
7112,8218,6409,6029,4356,3415,7453,6200,4890,3506,0,0,0,0,0,2,2,1,3,1,0,1,1,2,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
5247,6620,5691,8243,4455,6633,5440,5200,4978,3191,0,1,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5139,5332,6235,7171,4211,4360,5816,5266,4763,3330,0,2,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8018,7780,7417,6839,4838,5194,5041,6488,5399,3766,3,1,0,1,1,2,1,2,1,0,0,1,3,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1
5310,5472,4792,5244,3751,5893,5123,4911,7572,4616,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,2,0,0,0,1,1
4352,5162,6230,6828,4479,5614,6414,4463,5012,3157,0,0,0,0,0,0,1,2,0,0,1,0,2,0,1,0,1,0,1,1,0,0,0,1,0,3,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5260,7768,5795,4683,4023,5312,6818,5518,7230,4942,0,0,0,0,1,2,2,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,3,2,0,0,0,0,1,0,1,0,2,1,0,0,0,3,0
6889,6504,8603,6035,4709,4444,7791,5208,4526,3565,4,1,0,0,0,0,0,1,4,2,2,2,4,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,2,1,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0
4787,6401,4174,5417,5023,6046,7068,7320,5727,3615,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0
5509,8025,6285,6803,5896,7166,4792,5317,4434,3561,2,0,0,0,0,1,3,0,1,1,0,2,3,0,1,0,0,0,3,1,1,1,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
6370,6182,5692,5108,4656,4166,5185,4218,4961,3022,3,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6993,5587,5131,4550,3306,4547,4992,4681,6829,4694,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0
6565,6389,6213,7290,4624,6503,4775,4765,4256,3752,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,2,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0
8085,6782,7851,6522,5120,3400,5140,3942,7654,4768,5,1,0,0,0,0,0,1,1,1,0,1,4,0,0,0,1,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,2,0
7423,7370,7660,7353,5038,4110,4390,4939,4457,3347,3,0,0,0,0,1,1,2,1,0,1,1,3,1,3,1,1,0,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
5930,6871,6238,5433,3525,6075,6055,5168,5194,3763,2,0,0,0,0,1,2,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
4273,6639,5169,6928,6404,6223,6411,6861,4580,3956,1,0,0,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,1,0,0,0,0,0,1,0,2,2,3,0,0,0,0,0,1,1,0,0,0,0,0
5697,6758,5286,7973,6003,6780,5134,5451,4181,4780,0,0,0,1,0,2,0,0,1,1,0,1,0,1,0,2,3,0,1,3,0,1,1,0,1,2,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0
7031,5881,6713,6556,5382,4762,4813,4393,5301,3306,3,0,0,0,0,0,0,1,2,1,0,1,2,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
5881,6097,6134,5679,6717,6087,5687,6676,5080,4542,1,1,0,0,0,1,2,0,0,0,0,0,1,0,1,0,1,0,3,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,2,1,0,0,0,1,0
5185,5467,4985,6122,3686,7907,5605,5434,4661,3669,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
