OUTCOME,TOP_GOLD_DIFF,TOP1_IMPACT,TOP2_IMPACT,JUNGLE_GOLD_DIFF,JUNGLE1_IMPACT,JUNGLE2_IMPACT,MIDDLE_GOLD_DIFF,MIDDLE1_IMPACT,MIDDLE2_IMPACT,BOTTOM_GOLD_DIFF,BOTTOM1_IMPACT,BOTTOM2_IMPACT,UTILITY_GOLD_DIFF,UTILITY1_IMPACT,UTILITY2_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
1,-409,2,2,2859,1,3,-1423,1,2,1826,2,1,292,4,5,-1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,0,0,-4
0,-2502,0,1,451,0,0,313,0,0,-1618,2,2,590,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,2
1,473,0,4,2771,2,2,1378,0,2,-1799,3,1,418,1,2,0,0,0,0,3,1,-1,1,1,1,0,0,0,-2,1,1,0,-1,0,0
0,-3697,0,3,-765,0,2,-209,1,2,-1139,2,5,-850,4,3,-2,0,-1,0,0,0,1,2,0,-1,0,1,0,-3,-2,0,0,-1,0,-2
1,-1386,0,1,1180,0,2,491,3,2,3265,0,1,1264,0,3,1,0,0,0,1,2,0,0,0,-2,0,0,0,0,0,3,0,0,0,1
0,-779,1,1,484,0,3,-969,2,0,-2408,0,0,-881,1,2,-1,0,0,0,-2,1,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1
0,-2824,1,2,-2739,0,2,-929,2,2,-1440,1,2,-1072,2,4,-2,0,1,0,-1,0,0,0,1,-2,0,1,-1,-1,1,1,-1,0,-1,-2
0,583,0,0,-349,0,0,119,0,0,2328,1,1,865,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,-1,0,2,0,0,0,0
0,1262,1,1,1252,1,1,-1767,0,2,-1816,0,1,-1322,1,2,0,-1,0,0,1,0,-1,1,0,-1,0,0,0,0,0,-1,0,0,-1,-1
0,52,1,4,-950,1,0,-277,1,1,2547,6,1,919,4,2,-2,0,0,-1,1,0,3,2,0,-1,0,1,0,0,0,1,-1,-1,0,3
1,2445,3,2,-1287,0,3,3395,1,2,1509,2,5,1144,3,4,0,-1,-1,0,0,1,4,2,2,2,0,2,0,-2,1,0,0,-1,-2,0
1,-1259,1,0,-667,0,2,-3146,2,0,-310,1,1,1408,1,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,-1,0,1
1,-1657,0,2,3233,0,3,968,0,0,2369,1,2,2335,3,3,0,0,0,0,1,0,1,1,0,2,0,1,-1,0,0,1,0,1,-1,0
0,-2204,1,2,-997,0,1,-1474,1,1,-147,0,2,-1634,0,1,-1,-1,0,0,0,1,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0
0,-2446,2,0,-595,2,1,-450,0,2,2279,0,2,1388,2,1,0,0,0,0,1,0,0,0,-1,-1,0,1,-1,1,0,0,-1,1,0,0
