OUTCOME,TOP_GOLD_LOG_RATIO,TOP2_IMPACT,TOP1_IMPACT,JUNGLE_GOLD_LOG_RATIO,JUNGLE2_IMPACT,JUNGLE1_IMPACT,MIDDLE_GOLD_LOG_RATIO,MIDDLE2_IMPACT,MIDDLE1_IMPACT,BOTTOM_GOLD_LOG_RATIO,BOTTOM2_IMPACT,BOTTOM1_IMPACT,UTILITY_GOLD_LOG_RATIO,UTILITY2_IMPACT,UTILITY1_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
0,0.10521767982588583,2,2,-0.6075999878999389,3,1,0.32036430703630114,2,1,-0.3774570880220679,1,2,-0.11870024528780956,5,4,0,0,-1,0,1,-1,0,0,0,0,0,0,0,-1,0,4,-1,-2,0,-2
0,-0.6840938707129061,1,0,0.1042586060807689,0,0,0.09056878989587053,0,0,-0.4114284581112941,2,2,0.1769636736812294,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-1,0,2
0,-0.12286228108744561,4,0,-0.5920778254197048,2,2,-0.3830102692443791,2,0,0.41490388547547086,1,3,-0.14117606296069427,2,1,-3,-1,0,0,0,-1,2,1,0,-1,-1,0,0,1,0,0,0,-1,0,-1
1,1.0583697456523173,3,0,0.140966070846206,2,0,0.04783105435740376,2,1,0.3020842641981709,5,2,0.31317795795736886,3,4,0,0,0,0,2,1,3,1,0,0,2,0,1,-1,0,2,0,-2,-1,0
0,0.3381687358945732,1,0,-0.28322456555687825,2,0,-0.13017055621681506,2,3,-0.7276032645451607,1,0,-0.4814168231299722,3,0,-1,0,0,0,-1,2,0,0,0,-2,0,0,0,0,0,-1,0,0,0,-3
0,-0.23715951714086655,1,1,0.12535048883062117,3,0,-0.24368203867096963,0,2,-0.5903037688924546,0,0,-0.33864069821046955,2,1,-1,0,0,0,-2,1,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1
0,-0.6263964034723634,2,1,-0.6260602008641901,2,0,-0.1930619494595724,2,2,-0.3410931725767326,2,1,-0.3613777693656967,4,2,-2,0,1,0,-1,0,0,0,1,-2,0,1,-1,-1,1,1,-1,0,-1,-2
0,0.15029040516009093,0,0,-0.09507933843133418,0,0,0.035388914406523905,0,0,0.5300067254819505,1,1,0.29936796098401275,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,-1,0,2,0,0,0,0
1,-0.36735050726218504,1,1,-0.31329421234767685,1,1,0.48121835665950907,2,0,0.44607664370587774,1,0,0.5046224055427123,2,1,-1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,-1,0,1
1,-0.014192347167260073,4,1,0.18819460127924606,0,1,0.07066320454056121,1,1,-0.6265626091394151,1,6,-0.29682327270315423,2,4,-1,0,0,1,2,1,0,1,0,0,0,0,0,-3,0,-3,1,-2,-1,-1
1,0.6324357613047575,2,3,-0.26048125732453586,3,0,0.7241103892646302,2,1,0.41511718637549144,5,2,0.4015186459682772,4,3,0,-1,-1,0,0,1,4,2,2,2,0,2,0,-2,1,0,0,-1,-2,0
0,0.3368591729079408,0,1,0.14300473128594254,2,0,0.8104130480115697,0,2,0.0802855126540413,1,1,-0.47455362783334937,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,0,-1,0,1
1,-0.37937758064564564,2,0,0.7438734841082421,3,0,0.24130027822502906,0,0,0.617562318904627,2,1,0.7274540887320069,3,3,0,0,0,0,1,0,1,1,0,2,0,1,-1,0,0,1,0,1,-1,0
0,-0.612630533103016,2,1,-0.2537296651576354,1,0,-0.432376566732791,1,1,-0.04212756781004559,2,0,-0.6235873977434547,1,0,-1,-1,0,0,0,1,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0
1,0.6209965011054828,0,2,0.16245588609178027,1,2,0.1324232604794618,2,0,-0.5858077885970376,2,0,-0.5057311172308564,1,2,-1,1,1,1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0
1,0.013689587339992176,3,0,0.4200894064840393,0,1,0.3828138401443638,0,0,0.7764206637131099,2,0,0.30148156998530223,3,2,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,-1
0,-1.24971302733596,2,2,-0.39994242494419047,3,0,-0.9939486487257052,2,2,0.23089945992003044,1,2,-0.10275957442520074,3,1,0,0,0,-2,-1,0,-1,0,0,-1,0,-1,2,-1,1,1,0,-1,0,0
0,-0.8528639749348896,3,2,-0.7474436795597117,3,1,-0.6331254234338752,2,0,-0.7222600239753414,2,0,-0.5899825710477116,5,2,-1,-1,-1,0,1,-1,-1,0,0,-1,0,0,0,-1,-1,1,1,0,-3,-2
1,-0.03485230394713967,1,0,0.1823931231196139,1,0,0.27147748268022714,0,0,0.06490303299291666,1,2,-0.094260031894363,3,3,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,-1,0,-2,0,-1
0,0.5423609292062624,2,2,-0.05041654314120058,0,2,0.4085336641867245,2,1,-0.5970913317424187,3,1,-0.6949308817571461,3,1,0,-1,0,0,0,0,1,0,2,0,0,0,0,-1,0,-1,0,-1,0,-2
0,0.25108286715305267,4,0,-0.3965130545883832,5,1,0.044344495313702305,1,1,-0.9312746257215786,3,4,-0.3286730497587864,4,1,-1,0,-1,0,0,-1,-3,0,0,0,0,-1,-1,-1,-1,0,0,-1,1,0
0,-0.5621622738731666,0,0,-0.28912506719705966,2,1,-0.6117511429829733,2,0,-0.3065513138266859,4,0,-0.7030556663481037,2,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-2,0,-1,-1,0
1,-0.04966987531588326,1,0,0.10043174170423676,3,1,-0.12215578809557916,0,0,0.16080841476533309,3,2,0.5644893228668658,1,3,1,0,0,0,1,-1,0,0,0,0,0,1,0,1,-1,-1,0,-1,0,2
1,-0.6087864356115713,0,0,-0.035964997493205676,2,0,-0.12442106093641657,1,0,0.3933635319880474,1,1,0.006669166382170463,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,-0.2869252076919233,0,1,0.03533478007098736,3,0,0.4911816173926431,1,1,0.25167880153262157,4,2,0.4516022740202978,5,3,0,-1,0,0,0,1,2,1,0,1,2,3,0,0,-1,1,0,-3,0,0
1,-0.22883497823956744,3,2,0.18029058845661833,2,0,-0.22937232862633336,0,0,0.5329826988977647,1,0,0.7488887615420255,1,4,-2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,-1,0,-2
0,0.17681884362595837,1,0,-0.26585988705798835,1,1,0.500770445061356,0,0,0.12914232797504774,0,0,-0.33900267740388146,0,1,-1,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0.12572951377019884,5,2,0.6789662827958203,2,0,1.2228523910648426,5,0,-0.024706512564372077,2,2,0.35764273844331756,3,1,-1,0,0,0,3,4,2,2,2,1,0,0,0,-2,0,1,-1,0,1,0
0,-0.056523926414699645,4,1,-0.13493371397162443,2,0,-0.7394912582566081,0,0,-0.22456957334663338,3,2,0.2219925612892959,5,3,-4,0,0,0,0,-1,0,1,1,0,0,0,0,-1,-1,1,0,-2,-2,0
0,-0.31169896257047575,4,1,-0.5636445850775273,3,1,-0.11905680896131114,2,1,-0.6262694748780698,3,1,-0.6720431246053229,5,4,-2,0,-1,0,1,0,0,0,0,-1,1,1,0,0,-3,0,0,-2,-2,-1
1,-1.286516886634932,1,1,0.03951690608710713,0,2,-0.06927998908941949,3,2,0.2194764121761695,1,1,-0.15586472662057296,3,0,-1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,2,1,0,0,0,0
0,0.5611088715559782,0,0,-0.14368387062054008,2,1,0.030082643333016714,0,0,-0.22161711228893602,2,2,-0.46078308950042624,3,1,0,0,2,0,-1,-1,0,0,0,1,0,0,0,-1,0,0,0,-1,0,-2
1,-0.2719125571802467,1,0,0.023186464402803753,1,0,0.3129069836437001,3,1,0.18369785106404476,2,0,0.10176591233753973,4,3,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,3,0,-1,0,-1
1,0.7264525811224285,1,0,0.5608775154334478,2,0,-0.08049404467457166,3,1,0.6564171522928735,2,0,0.6719951658032671,3,2,1,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,0,0,-1,1
1,-0.3355056959819783,2,1,-0.4582116516257102,2,2,0.6555253024347903,1,4,0.33959786774100714,2,5,0.1322327113703618,0,3,0,0,0,-1,0,0,1,0,0,-1,0,-1,1,-4,0,-1,-1,-2,0,1
1,-0.3190214964260085,1,1,-0.3418110546746607,3,2,-0.010456351619458532,0,2,0.13872493912489905,1,3,-0.2831161750698428,2,3,0,0,0,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,-2,0,-1
1,-0.05418454252162067,1,0,0.3826970737731932,3,1,-0.2820300066679152,2,1,0.9741771255819219,5,3,0.32469789727294085,5,2,0,0,0,0,1,1,2,2,0,0,0,0,0,1,-2,2,0,0,0,2
1,0.2534645233757042,2,0,0.2959177676475774,0,1,0.6486277707893038,0,0,0.42239016556591896,1,2,0.3528316545430577,2,1,0,0,0,0,0,-1,1,1,2,0,0,0,0,-1,0,0,0,-1,0,0
