OUTCOME,TOP_GOLD_RATIO,TOP1_IMPACT,TOP2_IMPACT,JUNGLE_GOLD_RATIO,JUNGLE1_IMPACT,JUNGLE2_IMPACT,MIDDLE_GOLD_RATIO,MIDDLE1_IMPACT,MIDDLE2_IMPACT,BOTTOM_GOLD_RATIO,BOTTOM1_IMPACT,BOTTOM2_IMPACT,UTILITY_GOLD_RATIO,UTILITY1_IMPACT,UTILITY2_IMPACT,TOP_JUNGLE,TOP_MIDDLE,TOP_BOTTOM,TOP_UTILITY,JUNGLE_TOP,JUNGLE_MIDDLE,JUNGLE_BOTTOM,JUNGLE_UTILITY,MIDDLE_TOP,MIDDLE_JUNGLE,MIDDLE_BOTTOM,MIDDLE_UTILITY,BOTTOM_TOP,BOTTOM_JUNGLE,BOTTOM_MIDDLE,BOTTOM_UTILITY,UTILITY_TOP,UTILITY_JUNGLE,UTILITY_MIDDLE,UTILITY_BOTTOM
1,0.929664660361135,2,2,1.5237222934603407,1,3,0.8008676182479709,1,2,1.2990501146413365,2,1,1.08575624082232,4,5,-1,0,0,1,0,0,1,2,0,1,0,0,1,0,0,2,0,0,0,-4
1,1.6066925315227933,0,1,0.9302828876178698,0,0,0.9391524105754276,0,0,1.3300020395676118,2,2,0.8845627078849541,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-2,0,0,0,2
1,1.0888930652133058,0,4,1.507416224134774,2,2,1.3040600176522508,0,2,0.7500694637399278,3,1,1.102803738317757,1,2,0,0,0,0,3,1,-1,1,1,1,0,0,0,-2,1,1,0,-1,0,0
0,0.4801743532058493,0,3,0.9069116573375517,0,2,0.9673896083632392,1,2,0.8110797810582187,2,5,0.8048668503213958,4,3,-2,0,-1,0,0,0,1,2,0,-1,0,1,0,-3,-2,0,0,-1,0,-2
0,1.2641509433962264,0,1,0.8217522658610272,0,2,0.9137234229485152,3,2,0.6039063447773869,0,1,0.716273849607183,0,3,-1,0,0,0,-1,2,0,0,0,-2,0,0,0,0,0,-1,0,0,0,-3
0,0.8484140883440358,1,1,1.0907726931732933,0,3,0.8445870088211708,2,0,0.6642030400223121,0,0,0.7907860365708858,1,2,-1,0,0,0,-2,1,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1
1,1.5437042741624951,1,2,1.5433445744891887,0,2,1.1431874229346486,2,2,1.2667160585293573,1,2,1.2846521508231545,2,4,1,-1,1,1,2,2,1,0,0,0,-1,1,-1,0,0,2,0,0,-1,-1
0,1.1097928436911488,0,0,0.9362207602339181,0,0,1.0248330550918197,0,0,1.4439359267734553,1,1,1.2306051719541455,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,-1,0,2,0,0,0,0
0,1.2899816176470589,1,1,1.242541650523053,1,1,0.7163723916532905,0,2,0.7340363210310487,0,1,0.7048448314355883,1,2,0,-1,0,0,1,0,-1,1,0,-1,0,0,0,0,0,-1,0,0,-1,-1
1,0.990210843373494,1,4,1.139337048987973,1,0,1.0501993475897065,1,1,0.6477178423236515,6,1,0.8140428976123028,4,2,-1,0,0,1,2,1,0,1,0,0,0,0,0,-3,0,-3,1,-2,-1,-1
0,0.6450863695746842,3,2,1.1978782287822878,0,3,0.6053702196908055,1,2,0.7499585749792875,2,5,0.7570609471225314,3,4,0,-2,0,0,0,-2,2,1,1,-1,-1,2,1,-4,0,0,0,-2,-2,0
1,0.7917631491895468,1,0,0.905631013016412,0,2,0.5702185792349727,2,0,0.9458704382748385,1,1,1.389488243430152,1,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,-1,0,-1,0,1
0,1.3007805409330186,0,2,0.5971339563862929,0,3,0.8459824980111377,0,0,0.6517712773776275,1,2,0.6039687924016283,3,3,-1,0,1,0,0,-2,0,-1,0,0,0,1,0,-1,0,0,0,-1,-1,-1
1,1.529044647143543,1,2,1.1922854387656703,0,1,1.3494547178757705,1,1,1.0296311227575086,0,2,1.5407015221707479,0,1,0,0,0,0,1,1,0,1,1,-1,1,0,0,0,0,0,0,0,0,1
1,1.537937101385529,2,0,1.119190705128205,2,1,1.096133304849391,0,2,0.6662761751354518,0,2,0.7043033659991479,2,1,-1,1,1,1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0
1,1.0095340612025219,0,3,1.3380104712041885,1,0,1.3038824763903463,0,0,1.712875939849624,0,2,1.232409381663113,2,3,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,0,0,-1
1,2.3779411764705882,2,2,1.319455252918288,0,3,1.991628614916286,2,2,0.852103475307029,2,1,1.0738255033557047,1,3,1,0,-2,0,0,1,1,1,0,0,-1,0,0,1,0,0,2,0,1,-1
1,1.8060827250608273,2,3,1.6788154897494305,1,3,1.5509212391172302,0,2,1.6497644155261386,0,2,1.5052285628921422,2,5,-1,0,0,-1,1,1,1,0,1,1,1,3,1,1,0,2,0,0,0,-1
0,1.0244519392917368,0,1,0.8812399941784311,0,1,0.8284706636742546,0,0,0.9560095711393337,2,1,1.0675177304964538,3,3,-1,0,0,0,0,0,0,2,0,0,0,0,0,-1,0,1,0,-2,-1,1
0,1.456353849754271,2,2,0.9656574785359241,2,0,1.32733604178758,1,2,0.6610854503464203,1,3,0.617738913179263,1,3,0,-1,0,0,0,0,1,0,2,0,0,0,0,-1,0,-1,0,-1,0,-2
1,0.8402654867256637,0,4,1.316322555512271,1,5,0.9697303247110622,1,1,1.9069600574025354,4,3,1.255857740585774,1,4,0,0,1,0,1,0,1,1,0,1,1,-1,1,3,0,0,0,0,1,0
1,1.4764804703905923,0,0,1.2218990234780802,1,2,1.5281129068973367,0,2,1.2367477834370872,0,4,1.6279491833030852,0,2,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,2
0,1.0350280564529841,0,1,0.9327538133508283,1,3,1.0883599608738181,0,0,0.8945236837471385,2,3,0.6761947297900849,3,1,-1,0,0,0,-1,0,-1,1,0,1,1,0,0,0,0,-2,0,0,-1,1
1,0.655748071329202,0,0,0.9753791257805531,0,2,0.9173721015826279,0,1,1.3134520489165415,1,1,1.0046334150994822,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1.2200372593665907,1,0,0.9758052970651396,0,3,0.7114421632448673,1,1,0.8399184697397303,2,4,0.7312302839116719,3,5,0,0,0,0,0,-1,0,3,1,-1,1,0,0,-2,-2,0,0,-1,-3,-1
0,1.1718882303132938,2,3,0.8825252196550603,0,2,1.1723247965058567,0,0,0.6911243913235945,0,1,0.5950617283950618,4,1,-2,0,0,-1,2,-1,-1,1,0,0,0,0,0,0,0,2,0,0,0,-1
1,0.8846515123050911,0,1,1.2023524720893142,1,1,0.7067292644757434,0,0,0.9143748780963527,0,0,1.2648818897637795,1,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,-1,0
1,1.0910592986965302,2,5,1.60099220411056,0,2,2.334077380952381,0,5,0.9830205540661304,2,2,1.2813305827746262,1,3,-1,0,0,0,3,4,2,2,2,1,0,0,0,-2,0,1,-1,0,1,0
0,0.9615781863251395,1,4,0.9107116761654245,0,2,0.5989505247376312,0,0,0.8558503297040331,2,3,1.1663433559650824,3,5,-4,0,0,0,0,-1,0,1,1,0,0,0,0,-1,-1,1,0,-2,-2,0
1,1.2411684782608696,1,4,1.4779982743744609,1,3,1.086024619840695,1,2,1.5435684647302905,1,3,1.5933278191342708,4,5,-1,0,0,0,2,1,0,2,0,0,3,2,1,0,-1,1,0,0,-1,0
1,0.4099395567494963,1,1,1.027769615045548,2,0,0.9531135531135531,2,3,1.1643109540636043,1,1,0.897594209069619,0,3,-1,0,0,0,0,0,1,2,0,-1,0,-1,-1,0,2,1,0,0,0,0
0,1.4754027926960258,0,0,0.9052047934179932,1,2,1.0210706150341686,0,0,0.8576036123205935,2,2,0.7265917602996255,1,3,0,0,2,0,-1,-1,0,0,0,1,0,0,0,-1,0,0,0,-1,0,-2
0,1.2074074074074075,0,1,0.9840568271507498,0,1,0.8050180387012135,1,3,0.880443388756928,0,2,0.931891623166791,3,4,0,-1,0,0,0,0,0,1,-1,-2,0,0,0,0,-1,1,0,-1,0,-3
